club_id,club_name,city,state,country,address,timestamp_updated,distance,course_id,course_name,num_holes,has_gps,zip_code,lat,lng,geom
141520610930032000,Centennial Acres Golf Club,Sunfield,MI,USA,12485 Dow Rd,2023-01-20 11:03:29,,01114152085305787970,Sunrise + Sunrise,18,t,48890,35.69587992869789,-85.70008024868682,0101000020E6100000DE2B631DCE6C55C0A2D9EF9712D94140
141520610930127000,Centerview Golf Course,Adrian,MI,USA,5640 N Adrian Hwy,2022-11-15 05:02:49,,012141520853122401490,Centerview,18,t,49221,47.73202363173816,-76.89457388568825,0101000020E6100000BFB8D3B2403953C0761B4BF3B2DD4740
141520610930217000,Champion Hill Golf Club,Beulah,MI,USA,501 N Marshall Rd,2023-01-19 09:43:36,,012141520853162983292,Champion Hill,18,t,49617,32.29643255896429,-107.89279806481787,0101000020E6100000CA947E9A23F95AC0511C8980F1254040
141520610930312000,Chandler Park Golf Course,Detroit,MI,USA,12801 Chandler Park Dr,2023-01-23 17:34:44,,0121257660859357,18-hole course,18,t,48213,37.07111676124599,-124.16877724669277,0101000020E6100000AEB6143FCD0A5FC0DEDFA15A1A894240
141520610930416000,Chardell Golf Course,Bath,MI,USA,4646 E Howe Rd,2023-01-17 11:42:13,,011141520853227086388,Chardell,9,t,48808,25.43513268059415,-82.15528912083178,0101000020E61000006AD9C741F08954C09C92F8DA646F3940
141520610933557000,Crystal Springs Country Club,Caledonia,MI,USA,7177 Kalamazoo Ave Se,2023-05-23 10:59:59,,012141520854754836074,StoneWater,18,t,,28.359540301318592,-111.21332356242547,0101000020E61000005A05DF17A7CD5BC0E1C14BD50A5C3C40
141520610934056000,Deer Run Golf Course,Lowell,MI,USA,13955 Cascade Se,2023-05-26 10:58:27,,012141520854984237125,Deer Run,18,t,,46.40755057440079,-95.24937694037932,0101000020E610000091D3B2CAF5CF57C03A42029E2A344740
141520610934390000,Devils Lake Golf Course,Manitou Beach,MI,USA,14600 Us 223,2023-04-11 06:49:54,,012141520855159247268,Devils Lake,18,t,,46.18197766347424,-118.94814200826808,0101000020E6100000695ED15BAEBC5DC0B89C480B4B174740
1440527928401990,Diamond Springs Golf Course,Hamilton,MI,USA,3400 34Th Street,2023-09-18 21:33:11,,0121440527928396252,Diamond Springs Golf Course,18,t,,25.127140570831717,-102.67318442043307,0101000020E6100000F47B1B7415AB59C08DB7D1488C203940
141520610935718000,Egypt Valley  Country Club,Ada,MI,USA,7333 Knapp St Ne,2023-04-22 10:14:03,,012141520855717947274,Ridge,18,t,,45.03185825394982,-96.68340196366677,0101000020E610000024FE96DBBC2B58C03C6967EE13844640
141520610935718000,Egypt Valley  Country Club,Ada,MI,USA,7333 Knapp St Ne,2023-04-22 10:14:03,,012141520855684997091,Valley,18,t,,27.616514691919825,-87.12831791306053,0101000020E61000008005565C36C855C0964C27E8D39D3B40
141520610930512000,Charlevoix Country Club,Charlevoix,MI,USA,9600 Clubhouse Dr,2023-01-20 09:16:39,,012141520853259289762,Charlevoix,18,t,49720,28.103115322800726,-76.56503529297905,0101000020E6100000921BCA89292453C046250BC4651A3C40
1468285073452470,Charlevoix Golf Club,Charlevoix,MI,USA,400 Fairway Drive,2023-01-21 14:15:01,,0111468285073451876,9-hole course,9,t,49720,49.050270844001815,-82.00393499338216,0101000020E6100000BAF88E78408054C00E7767466F864840
141520610930601000,Chase Hammond Golf Course,Muskegon,MI,USA,2454 Putnam Rd,2022-11-19 05:19:59,,012141520853291478467,Chase Hammond,18,t,49445,48.51274224247872,-116.70533664225327,0101000020E61000007DC94C3C242D5DC0A65CAD89A1414840
141520610930686000,Cheboygan Golf & Country Club,Cheboygan,MI,USA,1431 Old Mackinaw Rd,2022-11-26 04:27:06,,012141520853323875780,Cheboygan,18,t,49721,24.519748490588075,-81.25188372014252,0101000020E61000000B1AE5DC1E5054C09D38B13C0E853840
141520610930781000,Chemung Hills Country Club,Howell,MI,USA,3125 Golf Club Rd,2022-11-26 10:49:49,,0121247848425659,18-hole course,18,t,48843,48.180228484745165,-80.35216802012351,0101000020E61000002A48BCEB891654C0E1E41BBA11174840
141520610930876000,Cherry Creek Golf Club,Shelby Township,MI,USA,52000 Cherry Creek Dr,2022-11-30 07:30:53,,012141520853388529319,18-hole course,18,t,49455,40.36666896213062,-86.76156178519652,0101000020E61000005B53A46DBDB055C096673002EF2E4440
141520610930981000,Cherrywood Golf Club,Ottawa Lake,MI,USA,7910 Whiteford Center Rd,2023-02-22 03:56:16,,011141520853420753048,Cherrywood,9,t,49267,46.08389373938104,-80.51514893237318,0101000020E61000002D473A33F82054C0887DB107BD0A4740
1497871892613790,Chestnut Hills,Bear Lake,MI,USA,7700 Glovers Lake Road,2022-12-01 06:43:33,,0121497871892610238,18-hole course,18,t,49614,35.75937024957165,-75.88120785889342,0101000020E61000003ABBA5B565F852C099BB590B33E14140
141520610931175000,Chestnut Valley Golf Course,Harbor Springs,MI,USA,1875 Clubhouse Dr,2022-12-01 09:26:34,,012141520853550760250,18-hole course,18,t,49740,37.280047341939735,-89.37081325703285,0101000020E610000047F88667BB5756C0407B5F97D8A34240
141520610931271000,Chickaming Country Club,Lakeside,MI,USA,15029 Lakeside Rd,2022-12-02 03:58:42,,012141520853583403790,Chickaming,18,t,49116,36.61163078978893,-119.85512918332358,0101000020E6100000B80EC16FBAF65DC060AFEFEA494E4240
141520610931381000,Chisholm Hills Golf Club,Lansing,MI,USA,2395 S Washington Rd,2022-12-09 04:17:01,,012141520853615779133,Chisholm Hills,18,t,48911,41.05994541077493,-96.68568155171525,0101000020E61000009A05E034E22B58C06C698D4AAC874440
141520610931480000,Chocolay Downs Golf Course,Marquette,MI,USA,125 Chocolay Downs Dr,2022-12-09 05:24:51,,012141520853647743175,Chocolay Downs,18,t,49855,27.885920536413487,-120.49125799307934,0101000020E6100000298B5DC5701F5EC02EC032B0CBE23B40
141520610931686000,Clearbrook Golf Club,Saugatuck,MI,USA,6494 Clearbrook Dr,2022-12-19 07:05:28,,012141520853740765731,Clearbrook,18,t,49453,25.14528956241797,-101.33583865959855,0101000020E610000054ED6E617E5559C00C095FB231253940
141520610931779000,Clio Country Club,Clio,MI,USA,13141 N Linden Rd,2022-12-27 07:28:30,,012141520853776362855,Clio,18,t,48420,32.09087677697776,-101.3611866531301,0101000020E610000083BC9FAE1D5759C0ED8AA8D9A10B4040
141520610931874000,Concord Hills Golf Course,Concord,MI,USA,7331 Pulaski Rd,2023-05-05 06:20:23,,01214152085388418996,Concord Hills,18,t,49237,42.00490613330146,-121.1671100157639,0101000020E61000008F2235EEB14A5EC0300AA1C3A0004540
141520610931969000,Copper Creek Golf Club at Farmington Hills,Farmington Hills,MI,USA,27925 Golf Pointe Blvd,2023-05-06 02:19:55,,011141520853840279157,Copper Creek at Farmington Hills,9,t,48331,29.44023215432084,-104.74558570223257,0101000020E610000010DD17ADB72F5AC0A474F10DB3703D40
141520610932084000,Copper Hills Golf Club,Oxford,MI,USA,2125 Lakeville Rd,2023-04-15 17:24:45,,0331338230758778794,Jungle + Jungle,18,t,48370,41.2240713155447,-118.55484766449982,0101000020E61000007A52C79F82A35DC03B1E6E5EAE9C4440
141520610932084000,Copper Hills Golf Club,Oxford,MI,USA,2125 Lakeville Rd,2023-04-15 17:24:45,,0321338230758778794,Jungle + Marsh,18,t,48370,48.63251870373078,-78.0694749896742,0101000020E61000009A223A47728453C0E650755FF6504840
141520610932084000,Copper Hills Golf Club,Oxford,MI,USA,2125 Lakeville Rd,2023-04-15 17:24:45,,0311338230758778794,Jungle + Hills,18,t,48370,26.742703781181778,-69.97208726652184,0101000020E610000070A482AD367E51C091CAC2D521BE3A40
141520610932084000,Copper Hills Golf Club,Oxford,MI,USA,2125 Lakeville Rd,2023-04-15 17:24:45,,0231338230758778794,Marsh + Jungle,18,t,48370,41.203323360315366,-120.80091276806343,0101000020E61000000072A02742335EC09E88F77F069A4440
141520610924481000,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,2022-09-11 10:38:14,,022141520849689407536,Quarry + Quarry,18,t,48435,28.58137113961875,-67.62926676971011,0101000020E6100000541721E845E850C033802FBDD4943C40
141520610924481000,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,2022-09-11 10:38:14,,021141520849689407536,Quarry + Links,18,t,48435,27.00925442266801,-98.63820064455047,0101000020E610000058288447D8A858C0D5B3727F5E023B40
141520610924481000,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,2022-09-11 10:38:14,,013141520849689407536,Links + Preserve,18,t,48435,40.29945889710887,-85.03506054149915,0101000020E61000009CC7916E3E4255C017CA4CAB54264440
