club_ID,club_Name,address,city,state,country,zip_code,timestampUpdated,course_ID,course_Name,num_Holes,has_GPS
1.42E+17,Country Club of Detroit,220 Country Club Dr,Grosse Pointe Farms,MI,USA,48236,1677560220,1.12E+17,Par 3,9,1
1.42E+17,Country Club of Detroit,220 Country Club Dr,Grosse Pointe Farms,MI,USA,48236,1679578916,1.21E+18,Regulation,18,1
1.42E+17,Lochmoor Country Club,1018 Sunningdale Dr,Grosse Pointe Woods,MI,USA,48236,1701581581,1.21E+19,Lochmoor,18,1
1.42E+17,Red Fox Run Golf Course,217 5th St,Gwinn,MI,USA,49841,1618417179,1.21E+19,Red Fox Run,18,0
1.42E+17,Hadley Acres Golf Club,3797 S Hadley Rd,Hadley,MI,USA,48462,1687942067,1.21E+19,Hadley Acres,18,1
1.72E+15,Wicker Hills Golf Course,7287 Wickert Rd,Hale,MI,USA,48739,1724354824,1.22E+17,18-hole course,18,1
1.44E+15,Diamond Springs Golf Course,3400 34th Street,Hamilton,MI,USA,49419,1681206139,1.21E+17,Diamond Springs Golf Course,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,1.11E+19,Briches + Briches,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,1.21E+19,Briches + Woods,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,1.31E+19,Briches + Farms,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,2.11E+19,Woods + Briches,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,2.21E+19,Woods + Woods,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,2.31E+19,Woods + Farms,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,3.11E+19,Farms + Briches,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,3.21E+19,Farms + Woods,18,1
1.42E+17,Birchwood Farms Golf & Country Club,600 Birchwood Dr,Harbor Springs,MI,USA,49740,1662113453,3.31E+19,Farms + Farms,18,1
1.42E+17,Boyne Highlands Resort ,600 Highlands Dr,Harbor Springs,MI,USA,49740,1667207806,1.21E+14,Donald Ross,18,1
1.42E+17,Boyne Highlands Resort ,600 Highlands Dr,Harbor Springs,MI,USA,49740,1663850880,1.21E+19,The Heather,18,1
1.42E+17,Boyne Highlands Resort ,600 Highlands Dr,Harbor Springs,MI,USA,49740,1663850062,1.21E+19,The Moor,18,1
1.42E+17,Boyne Highlands Resort ,600 Highlands Dr,Harbor Springs,MI,USA,49740,1667206929,1.21E+19,Arthur Hills,18,1
1.42E+17,Chestnut Valley Golf Course,1875 Clubhouse Dr,Harbor Springs,MI,USA,49740,1669886794,1.21E+19,18-hole course,18,1
1.42E+17,Harbor Point Golf Club,Lakeshore Dr,Harbor Springs,MI,USA,49740,1689067422,1.21E+19,Harbor Point,18,1
1.72E+15,True North Golf Club,2500 True North Dr.,Harbor Springs,MI,USA,49740,1720449315,1.22E+17,18-hole course,18,0
