"club_id","club_name","city","state","country","address","timestamp_updated","distance","course_id","course_name","num_holes","has_gps","zip_code","lat","lng"
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"013141520859739837994","Front + Original",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"012141520859739837994","Front + Back",18,True,"49272",NULL,NULL
"141520610943706000","Hankerd Hills Golf Club","Pleasant Lake","MI","USA","10251 Resort Rd","2024-02-06 16:17:01",NULL,"011141520859739837994","Front + Front",18,True,"49272",NULL,NULL
"141520610943800000","Harbor Point Golf Club","Harbor Springs","MI","USA","Lakeshore Dr","2023-07-11 09:23:42",NULL,"012141520859836882379","Harbor Point",18,True,"49740",NULL,NULL
"133787920076765","Harbor Shores Golf Club","Benton Harbor","MI","USA","201 Graham Avenue","2024-06-25 22:18:49",NULL,"012133787920070033","18-hole course",18,True,"49022",NULL,NULL
"141520610943915000","Hartland Glen Golf Course","Hartland","MI","USA","12400 Highland Road","2024-06-12 07:42:54",NULL,"012141520859916213617","South",18,True,"48353",NULL,NULL
"141520610943915000","Hartland Glen Golf Course","Hartland","MI","USA","12400 Highland Road","2024-06-12 07:42:54",NULL,"012141520859876074979","North",18,True,"48353",NULL,NULL
"141520610944020000","Hastings Country Club","Hastings","MI","USA","1550 N Broadway St","2024-10-10 15:34:18",NULL,"012141520859949850367","18-hole course",18,True,"49058",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0331254106545360","19-27 + 19-27",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0321254106545360","19-27 + 10-18",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0311254106545360","19-27 + 1-9",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0231254106545360","10-18 + 19-27",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0221254106545360","10-18 + 10-18",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0211254106545360","10-18 + 1-9",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0131254106545360","1-9 + 19-27",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0121254106545360","1-9 + 10-18",18,True,"48808",NULL,NULL
"1254966205864","Hawk Hollow Golf Course","Bath Township","MI","USA","15101 Chandler Road","2024-02-07 17:51:55",NULL,"0111254106545360","1-9 + 1-9",18,True,"48808",NULL,NULL
"141520610944110000","Hawk Meadows at Dama Farms","Howell","MI","USA","410 E Marr Rd","2023-07-15 09:35:43",NULL,"012141520859983001826","Hawk Meadows at Dama Farms",18,True,"48855",NULL,NULL
"141520610944384000","Heather Highlands Golf Club","Holly","MI","USA","11450 E Holly Rd","2024-10-14 14:19:18",NULL,"011141520860160225597","Executive",9,False,"48442",NULL,NULL
"141520610944384000","Heather Highlands Golf Club","Holly","MI","USA","11450 E Holly Rd","2024-10-14 14:19:18",NULL,"012141520860116993767","Championship",18,True,"48442",NULL,NULL
"141520610944579000","Heathlands Golf Course","Onekama","MI","USA","6444 Farr Rd","2024-05-16 15:03:46",NULL,"012141520860225970622","Heathlands",18,True,"49675",NULL,NULL
"141520610944674000","Hemlock Golf Club","Ludington","MI","USA","5105 W Decker Rd","2024-01-08 09:55:16",NULL,"012141520860258761618","Hemlock",18,True,"49431",NULL,NULL
"141520610944768000","Heritage Glen Golf Club","Paw Paw","MI","USA","29795 Heritage Ln","2024-06-09 22:14:15",NULL,"012141520860292139237","Heritage Glen",18,True,"49079",NULL,NULL
"141520610944863000","Hessel Ridge Golf Course","Hessel","MI","USA","2061 N. Three Mile Rd.","2024-01-28 22:04:24",NULL,"012141520860325202816","18-hole course",18,True,"49745",NULL,NULL
"141520610944953000","Hickory Creek Golf Club","Superior Township","MI","USA","3625 Napier Rd","2024-01-12 09:25:03",NULL,"012141520860357485448","Hickory Creek",18,True,"48198",NULL,NULL
"141520610945043000","Hickory Hill Golf Club","Wixom","MI","USA","2307 Orland","2024-01-12 10:48:16",NULL,"011141520860389565115","Hickory Hill",9,True,"48393",NULL,NULL
"1213660963331","Hickory Hills Disc Golf","Traverse City","MI","USA","2000 Randolph Street","2023-09-19 11:22:12",NULL,"0121213660963331","18-hole course",18,False,"49684",NULL,NULL
